,text
261, i booked my ticket pnr 8454607367 date of journey 8 11 22 four months prior as wl ticket which got confirmed as rac ticket two days ago irony is tatkal ticket buyers got confirmed ticket with full berth who booked 1 day ago good business railway
262, it is vey shameful we are leaving in 2022 and still our trails are running late for2 3 hours train 17650 was rescheduled for 18 55 and suppose to arrive parli vaijnath at 21 30 but it is still at parbhani jn for almost hour 
263, travelling by 12772 from raipur at 4 45 it s 23 36 and train is 46 kms away from nagpur taking lots of hault every aftet 10 minutes rail app is showing delayed time for 301 kms hoe can you justify 7 hous bu sf train
264, tree plantation is also done nearby fencing wall boundary of railway track with minimum distance of 25 metre on our ongoing project by contractor
265, ticket book very soon but 
266,indian railways have turned the public transport into profit gaining org for the side lower births throughout the train they have given rac to all the members and in turn are gaining payment for same seat from two members 
267,what is this in entire coach there are no any hand towel available and this is the reply of rail madad 
268, please restore senior citizen reservation concession system in trains it can be a new lease of relief and respite it can ensure safety security and comfort while travelling the nation must owe some responsibility to the elder ek bharat shretha bharat jai hind 
269, what s next for the passengers who couldn t board the train will the railway ministry help them to get tickets in the next available train 
270, our seat and coaches are full of cockroaches and coaches are not clean railway staff was sleeping we had to go and bring them with as to show them unclean coach and cockroaches pnr no 4754197445 tn 12164
271, south eastern railway is the worst railway zone in india trains are never on time 2 3 hours of delay has become a common thing now how are we suppose to deliver with such delays 
272, no bedding provided in train no 22709 nanded amb andaura express despite ticket confirmation wherein i am travelling with my grandparent negligence at its peak provide us at the earliest
273, you guys are just making fool of people of this country
274,conditions of train12512 3ac coach b7 is too worst 500 cockroaches are roaming inside coach due to cockroaches we are unable to sleep bed roll are also dirty and used i have registered complain with railwayseva but we have not get any solution my pnr 4651657639 
275,why does this waiting list system exists till infinity in indian railways it should have a limit till say wl 50 or 100 how the f ck are you going to adjust 300 400 people when the seats are already almost full 
276, travelling by 12772 from raipur to raipur in a2 coach coach is unclean and lots of cocroches in the boggies after covid railways has missed the swachh bharat mission
277, no action yet no water no security no tte no rpf noone can access the toilet train arrived at ddu 
278,ac isn t working properly in my coach b3 and it s getting too suffocated in here i can t find any attendant either can this be please looked into at the earliest pnr 2509992983 train no 09068 
279,kalingutkal express 18478 is running approx 8 hrs late who is responsible for it and what was the reason for delay 
280, train no 12370 heading to mokameh jn is late by 4 hrs 30 min we request tt to open ac gate so that we can board on board as stop time is short 
281, train west bengal sampark kranti last 3 weeks check never starts frm anvt or reaches destination on time responsibility accountability missing 
282,very very poor service 18237 reach delhi at plateform no 2 agony is that display is wrong showing at platform increase panic n havoc among passenger take action 
283, train no 12987 just left originating station dirty bed roles what u all are charging for photo attached 
